team,n,mean,q5,q95
Swampert / Pelipper / Sinistcha / Archaludon / Grimmsnarl / Gholdengo,12,1.3416187223064144,1.006820219025155,1.6941681699629592
Charizard / Whimsicott / Garchomp / Basculegion / Gholdengo / Incineroar,10,1.3348552690882616,1.0055109006823422,1.6727854907800677
Charizard / Garchomp / Whimsicott / Hydreigon / Sneasler / Basculegion,6,1.3206422647758855,0.9749572116545575,1.6778504498287468
Metagross / Sneasler / Hydreigon / Incineroar / Aerodactyl / Eternal Flower Floette,8,1.2999677331831379,0.9234440335052011,1.6815122475354545
Torkoal / Farigiraf / Sylveon / Kingambit / Vileplume / Kangaskhan,6,1.298941615078474,0.9009342816257201,1.7172647787892557
Raichu / Mawile / Sinistcha / Ceruledge / Milotic / Incineroar,25,1.2929461883307334,0.9482605728040742,1.628731725940384
Sneasler / Incineroar / Eternal Flower Floette / Kingambit / Sinistcha / Dragapult,6,1.2840922249030315,0.8888188848554411,1.681478820871905
Kingambit / Charizard / Farigiraf / Aerodactyl / Sylveon / Garchomp,5,1.276813855873767,0.9303650545958695,1.6308277786672942
Raichu / Gholdengo / Garchomp / Eternal Flower Floette / Whimsicott / Basculegion,11,1.2761854557500738,0.9452160361450497,1.6194642401670942
Staraptor / Houndstone / Tyranitar / Wash Rotom / Excadrill / Venusaur,7,1.270724923298619,0.8466627639392312,1.6998123982463087
Swampert / Eternal Flower Floette / Pelipper / Grimmsnarl / Sinistcha / Archaludon,14,1.2672283029985594,0.9452117215993313,1.6006334250995429
Swampert / Grimmsnarl / Pelipper / Archaludon / Sinistcha / Metagross,8,1.2645605218959384,0.9424892089201855,1.595376673288767
Pyroar / Ninetales / Whimsicott / Eternal Flower Floette / Basculegion / Farigiraf,13,1.2613014148010684,0.9202250518884865,1.6095471929689873
Charizard / Whimsicott / Garchomp / Basculegion / Sylveon / Hydreigon,6,1.2610054494859821,0.9096600952689314,1.620447187909193
Pyroar / Whimsicott / Basculegion / Ninetales / Farigiraf / Eternal Flower Floette,14,1.2609692478355063,0.922314982873722,1.6116301527015546
Raichu / Kingambit / Mamoswine / Ceruledge / Gyarados / Clefable,6,1.2599992819576944,0.8414605994574587,1.6775779459362303
Dragonite / Basculegion / Scizor / Archaludon / Pelipper / Incineroar,5,1.259952578753547,0.7988250674303234,1.7227129750849106
Charizard / Sylveon / Garchomp / Kingambit / Aerodactyl / Farigiraf,5,1.2372162313011947,0.8789199155099624,1.5949519820179092
Gholdengo / Charizard / Sneasler / Whimsicott / Basculegion / Garchomp,6,1.2262872318765907,0.8870288833210953,1.5672222538825382
Basculegion / Gholdengo / Whimsicott / Eternal Flower Floette / Garchomp / Raichu,8,1.218484759813027,0.8874259640868616,1.5574652073419006
Eternal Flower Floette / Sneasler / Sinistcha / Incineroar / Grimmsnarl / Wash Rotom,5,1.2104434705065454,0.8033625744767972,1.6259989612726187
Swampert / Grimmsnarl / Archaludon / Pelipper / Staraptor / Sinistcha,6,1.2082086153937859,0.8614379088016056,1.5630397808559822
Pyroar / Whimsicott / Ninetales / Farigiraf / Basculegion / Floette,8,1.1894221820763582,0.8366331333925233,1.561504721335625
Delphox / Garchomp / Sneasler / Kingambit / Sinistcha / Alolan Ninetales,7,1.186190400990675,0.8086134194755806,1.5667579941689518
Swampert / Grimmsnarl / Pelipper / Archaludon / Sinistcha / Metagross,5,1.1696501847209597,0.8498171424024121,1.4926582521605256
Mawile / Farigiraf / Whimsicott / Garchomp / Basculegion / Charizard,7,1.1623172819999945,0.8259126311194988,1.5183415245847414
Charizard / Aerodactyl / Garchomp / Basculegion / Kingambit / Sylveon,5,1.1527178393045545,0.8344905170932838,1.4908792479963473
Delphox / Garchomp / Azumarill / Sinistcha / Incineroar / Glimmora,5,1.1454486549752536,0.694164811103045,1.6201611040029973
Garchomp / Sneasler / Maushold / Delphox / Azumarill / Incineroar,5,1.1344528760562413,0.6384714690061504,1.6123481815373986
Charizard / Whimsicott / Garchomp / Sneasler / Basculegion / Sylveon,5,1.1257275196105916,0.7885627292330064,1.464759694795395
Scrafty / Metagross / Mamoswine / Toxapex / Dragonite / Charizard,8,1.1247372808554712,0.6738104815850968,1.5802096819318576
Blaziken / Hydreigon / Basculegion / Whimsicott / Farigiraf / Metagross,8,1.122228763323431,0.7638645960907328,1.4875585678362622
Hydreigon / Garchomp / Metagross / Charizard / Grimmsnarl / Toxapex,32,1.1200569066307744,0.7883274936452515,1.4684338016333105
Gengar / Sylveon / Incineroar / Sneasler / Swampert / Politoed,5,1.0670755683476019,0.6095396781015541,1.52345798827457
Blaziken / Aerodactyl / Kingambit / Basculegion / Sylveon / Torkoal,19,1.0337285552400106,0.6887636986723495,1.3833671248803705
Scrafty / Vileplume / Staraptor / Farigiraf / Sylveon / Torkoal,8,1.0240520722953121,0.6518831373174945,1.4106310441985288
Blaziken / Kingambit / Alolan Ninetales / Aerodactyl / Sylveon / Basculegion,5,1.0222671192566382,0.6738912980569243,1.3899971240074702
Staraptor / Raichu / Farigiraf / Sinistcha / Whimsicott / Garchomp,6,0.8868343851006486,0.4939462064157088,1.2973409173318928
Mawile / Torkoal / Vileplume / Farigiraf / Kangaskhan / Gallade,5,0.8576394464728662,0.4478774321220916,1.2911743354544856
Archaludon / Sableye / Swampert / Pelipper / Sinistcha / Basculegion,8,0.7856429667057719,0.40863302258649337,1.1666372312533824
Charizard / Eternal Flower Floette / Kingambit / Basculegion / Whimsicott / Garchomp,8,0.7269840165466955,0.30888557303980335,1.1727552694929584
Golurk / Farigiraf / Torkoal / Oranguru / Venusaur / Staraptor,8,0.7250079698137497,0.1950181645530086,1.2524061414665146
Sceptile / Heat Rotom / Basculegion / Aerodactyl / Garchomp / Eternal Flower Floette,6,0.7015279178706183,0.33896496142051824,1.0675373916249176
Archaludon / Pelipper / Sableye / Basculegion / Dragonite / Sinistcha,6,0.5270726553880868,0.1276500151366121,0.9350191969256736
Charizard / Garchomp / Aerodactyl / Sylveon / Kingambit / Basculegion,8,0.49341467870502936,0.11200832734185232,0.8939061581783277
Sylveon / Raichu / Basculegion / Azumarill / Politoed / Gengar,8,0.4366303690489915,-0.10373401512385445,0.9625617980333561
Sinistcha / Sneasler / Archaludon / Swampert / Politoed / Grimmsnarl,9,0.2961811099417362,-0.2721364249462977,0.8479314109376881
Pelipper / Grimmsnarl / Raichu / Sinistcha / Eelektross / Garchomp,6,0.014302404153406006,-0.4463125711877173,0.4790535411586814
