n,mean,q5,q95,squadra
5,1.9351159658508046,1.1418520380364658,2.6793631807195935,Pelipper / Sneasler / Archaludon / Swampert / Sinistcha / Grimmsnarl
6,1.9345231801552898,1.1546728847997125,2.736047658196662,Torkoal / Farigiraf / Sylveon / Kingambit / Vileplume / Kangaskhan
52,1.9271678816971194,1.1570335136336178,2.680586880440994,Grimmsnarl / Swampert / Pelipper / Archaludon / Sinistcha / Metagross
8,1.9176043748327067,1.2140208112541593,2.609769337046149,Metagross / Sneasler / Hydreigon / Incineroar / Aerodactyl / Eternal Flower Floette
7,1.9117740926308886,1.1677161918000738,2.6058269886230807,Charizard / Whimsicott / Eternal Flower Floette / Garchomp / Basculegion / Kingambit
12,1.8925682472176149,1.0748552099672224,2.6876705975780415,Swampert / Pelipper / Sinistcha / Archaludon / Grimmsnarl / Gholdengo
6,1.8691660146852607,1.0612690679782337,2.647070605566757,Sneasler / Incineroar / Eternal Flower Floette / Kingambit / Sinistcha / Dragapult
25,1.869038847408509,1.0824788541967993,2.636476808189012,Raichu / Mawile / Sinistcha / Ceruledge / Milotic / Incineroar
6,1.864005443040755,1.0454792969628615,2.6498921843079746,Swampert / Grimmsnarl / Archaludon / Pelipper / Staraptor / Sinistcha
7,1.8544195817150477,0.9850603134953986,2.6861544955544705,Staraptor / Houndstone / Tyranitar / Wash Rotom / Excadrill / Venusaur
10,1.8518152238353458,1.1810339042153972,2.5605809994557234,Charizard / Whimsicott / Garchomp / Basculegion / Gholdengo / Incineroar
8,1.8235780215520792,1.0443792513556398,2.5687325545848148,Swampert / Grimmsnarl / Pelipper / Archaludon / Sinistcha / Metagross
5,1.7913928996404491,0.9335947222646641,2.658186100485424,Dragonite / Basculegion / Scizor / Archaludon / Pelipper / Incineroar
11,1.7912294811008487,1.0475954816377693,2.526752910900077,Raichu / Gholdengo / Garchomp / Eternal Flower Floette / Whimsicott / Basculegion
6,1.7847866792938927,1.0992702045334497,2.5027037045965748,Gholdengo / Charizard / Sneasler / Whimsicott / Basculegion / Garchomp
8,1.7838509999505505,1.078421327123087,2.4388870704599497,Blaziken / Hydreigon / Basculegion / Whimsicott / Farigiraf / Metagross
5,1.7722147889096904,1.0389131403933272,2.5563309465683277,Eternal Flower Floette / Sneasler / Sinistcha / Incineroar / Grimmsnarl / Wash Rotom
7,1.7677805118175862,1.0551795339179464,2.4989029737363326,Delphox / Garchomp / Sneasler / Kingambit / Sinistcha / Alolan Ninetales
13,1.767158162329082,0.9081809262843098,2.599919767099929,Pyroar / Ninetales / Whimsicott / Eternal Flower Floette / Basculegion / Farigiraf
5,1.7668333410333634,1.136906270205094,2.462635367932241,Charizard / Sylveon / Garchomp / Kingambit / Aerodactyl / Farigiraf
14,1.7486173161099572,0.9131638499171623,2.591005765782291,Pyroar / Whimsicott / Basculegion / Ninetales / Farigiraf / Eternal Flower Floette
7,1.7229363907555824,1.0337008249762605,2.410663682141763,Mawile / Farigiraf / Whimsicott / Garchomp / Basculegion / Charizard
32,1.7171000684349098,0.9494701189894368,2.557008773944971,Hydreigon / Garchomp / Metagross / Charizard / Grimmsnarl / Toxapex
14,1.7169738923463336,0.9152800504034498,2.469435146203236,Swampert / Eternal Flower Floette / Pelipper / Grimmsnarl / Sinistcha / Archaludon
8,1.709939774869053,0.844556291535106,2.5757308244033923,Pyroar / Whimsicott / Ninetales / Farigiraf / Basculegion / Floette
8,1.707850541366948,0.9126626197637193,2.47849047824418,Basculegion / Gholdengo / Whimsicott / Eternal Flower Floette / Garchomp / Raichu
5,1.6491981712955086,0.9569496977145662,2.373415355006153,Kingambit / Charizard / Farigiraf / Aerodactyl / Sylveon / Garchomp
5,1.6462567955765326,0.799764540159466,2.45500959954214,Delphox / Garchomp / Azumarill / Sinistcha / Incineroar / Glimmora
8,1.6450135441298668,0.826159776182623,2.4241491119865466,Scrafty / Vileplume / Staraptor / Farigiraf / Sylveon / Torkoal
5,1.642006844219232,0.9928442388250173,2.35209050271727,Charizard / Whimsicott / Garchomp / Sneasler / Basculegion / Sylveon
5,1.6318873028204004,0.8493417718833223,2.388390860556235,Swampert / Grimmsnarl / Pelipper / Archaludon / Sinistcha / Metagross
5,1.607331029536325,0.8566465370309821,2.3820037669125136,Gengar / Sylveon / Incineroar / Sneasler / Swampert / Politoed
5,1.6069788257549902,0.9441306418525607,2.247619746282851,Charizard / Aerodactyl / Garchomp / Basculegion / Kingambit / Sylveon
5,1.5038430915498622,0.8221311532855803,2.198706336963407,Blaziken / Kingambit / Alolan Ninetales / Aerodactyl / Sylveon / Basculegion
6,1.4505586193304458,0.6831063408358772,2.189457917655538,Staraptor / Raichu / Farigiraf / Sinistcha / Whimsicott / Garchomp
19,1.3850155978860628,0.6872821878630853,2.105594864433832,Blaziken / Aerodactyl / Kingambit / Basculegion / Sylveon / Torkoal
5,1.3720562107264904,0.5028297905123348,2.291531945703567,Garchomp / Sneasler / Maushold / Delphox / Azumarill / Incineroar
8,1.3339843232167843,0.401896898118335,2.3358437783969666,Scrafty / Metagross / Mamoswine / Toxapex / Dragonite / Charizard
8,1.1059994777485371,0.6893529941553143,1.5023658712152477,Charizard / Eternal Flower Floette / Kingambit / Basculegion / Whimsicott / Garchomp
6,1.0138743613106724,0.12173725686639354,1.8763313041629022,Sceptile / Heat Rotom / Basculegion / Aerodactyl / Garchomp / Eternal Flower Floette
8,0.9982594399789858,0.1974995852386048,1.8184515053059462,Archaludon / Sableye / Swampert / Pelipper / Sinistcha / Basculegion
5,0.9695166873152959,0.07062957923596784,1.836580528423173,Mawile / Torkoal / Vileplume / Farigiraf / Kangaskhan / Gallade
8,0.924454574660011,-0.05850572321920319,1.886424156972283,Golurk / Farigiraf / Torkoal / Oranguru / Venusaur / Staraptor
8,0.6685776449549832,0.2775283901004029,1.0710530537541467,Charizard / Garchomp / Aerodactyl / Sylveon / Kingambit / Basculegion
6,0.6357805763296518,-0.14914484600859956,1.4323049067110127,Archaludon / Pelipper / Sableye / Basculegion / Dragonite / Sinistcha
8,0.1125991105991006,-0.7908922269882027,1.0008264888278358,Sylveon / Raichu / Basculegion / Azumarill / Politoed / Gengar
9,-0.056875907067765796,-1.107639286420814,0.9317445214312191,Sinistcha / Sneasler / Archaludon / Swampert / Politoed / Grimmsnarl
6,-0.3142713147138599,-1.2745607148775095,0.6267726193511932,Pelipper / Grimmsnarl / Raichu / Sinistcha / Eelektross / Garchomp
