team,n,mean,q5,q95
Archaludon / Swampert / Pelipper / Gardevoir / Sinistcha / Incineroar,5,0.5677613788843154,0.4540758043527603,0.675857651233673
Gholdengo / Charizard / Sneasler / Whimsicott / Basculegion / Garchomp,6,0.5643895667791367,0.40149968266487124,0.6856103926897049
Charizard / Aerodactyl / Garchomp / Kingambit / Sylveon / Farigiraf,5,0.5636505740880966,0.4035016596317291,0.6915840089321137
Charizard / Garchomp / Whimsicott / Hydreigon / Sneasler / Basculegion,6,0.561241073012352,0.4080729842185974,0.7092459559440613
Kingambit / Charizard / Garchomp / Basculegion / Whimsicott / Eternal Flower Floette,5,0.5589000827074051,0.38848297446966173,0.6978918492794036
Whimsicott / Eternal Flower Floette / Charizard / Garchomp / Basculegion / Kingambit,8,0.5553393912315369,0.426106134057045,0.6859786361455916
Charizard / Whimsicott / Garchomp / Sneasler / Basculegion / Sylveon,5,0.5390208214521408,0.39463869780302047,0.6716578960418701
Raichu / Mawile / Sinistcha / Ceruledge / Milotic / Incineroar,25,0.5374497693777084,0.40626384019851686,0.712244838476181
Swampert / Grimmsnarl / Archaludon / Pelipper / Staraptor / Sinistcha,6,0.5003346168994903,0.35271472781896596,0.6083625197410584
Charizard / Basculegion / Kingambit / Eternal Flower Floette / Whimsicott / Garchomp,19,0.4982923030853271,0.35835581868886945,0.647746279835701
Pyroar / Scrafty / Farigiraf / Torkoal / Venusaur / Mamoswine,11,0.4905203464627266,0.29243881851434705,0.6948024511337281
Charizard / Whimsicott / Garchomp / Basculegion / Sylveon / Hydreigon,6,0.4630521538853645,0.3253572300076485,0.6180109798908233
Charizard / Aerodactyl / Garchomp / Sylveon / Kingambit / Incineroar,10,0.45907105088233946,0.30136818438768387,0.60995854139328
Basculegion / Gholdengo / Whimsicott / Eternal Flower Floette / Garchomp / Raichu,8,0.40133254855871203,0.26280339658260343,0.5596350818872452
Charizard / Aerodactyl / Garchomp / Basculegion / Kingambit / Sylveon,5,0.3979358011484146,0.2571045607328415,0.5335314065217972
Delphox / Garchomp / Sneasler / Kingambit / Sinistcha / Alolan Ninetales,7,0.393016052544117,0.1877398520708084,0.5808294296264648
Scrafty / Farigiraf / Torkoal / Kingambit / Sneasler / Pyroar,6,0.38270139306783674,0.12369504645466806,0.5810218483209609
Grimmsnarl / Swampert / Pelipper / Archaludon / Sinistcha / Metagross,52,0.38122679844498636,0.20210277140140534,0.5561277806758881
Swampert / Grimmsnarl / Pelipper / Archaludon / Sinistcha / Metagross,5,0.38059291064739226,0.22390429824590682,0.5124083161354065
Pyroar / Ninetales / Whimsicott / Eternal Flower Floette / Basculegion / Farigiraf,13,0.35642602503299714,0.20208043679594995,0.5591938257217407
Swampert / Eternal Flower Floette / Pelipper / Grimmsnarl / Sinistcha / Archaludon,14,0.3342329502105713,0.17557099163532258,0.49657284021377546
